version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,2360,0.5321,6.7166,5,6.4567,0.0276,0.064,3.7247
3,2370,0.5353,6.8537,5,6.5654,0.0268,0.0721,3.695
3,2380,0.4792,6.1973,5,6.3527,0.03,0.0703,3.7914
3,2390,0.5355,6.9111,5,6.8964,0.0286,0.0794,3.8152
3,2400,0.5389,7.1408,5,7.0268,0.0285,0.078,5.2391
3,2410,0.5249,6.9067,5,6.7627,0.0283,0.0769,4.3822
3,2420,0.554,7.1889,5,7.2326,0.0272,0.0754,3.8563
3,2430,0.5097,6.6157,5,6.4041,0.0272,0.0761,4.0399
3,2440,0.495,6.4918,5,6.4102,0.0286,0.0725,3.682
3,2450,0.5268,6.7408,5,6.9744,0.0302,0.0815,4.4358
3,2460,0.5127,6.7896,5,6.6542,0.0278,0.0763,4.3866
3,2470,0.5224,6.7921,5,6.6596,0.0279,0.0817,3.6978
3,2480,0.5374,6.9828,5,7.0682,0.0292,0.0838,3.8168
3,2490,0.5474,7.1526,5,6.9,0.0259,0.0807,3.964
3,2500,0.5374,6.8686,5,6.7123,0.0265,0.0864,4.0929
3,2510,0.5242,6.9069,5,7.0158,0.0256,0.0726,3.1124
3,2520,0.5401,6.8963,5,6.7728,0.0277,0.0754,3.1815
3,2530,0.4871,6.4028,5,6.6015,0.0258,0.0828,3.5985
3,2540,0.4241,5.5596,5,5.8491,0.0279,0.0655,2.7207
3,2550,0.4753,6.3266,5,6.5307,0.0272,0.0793,3.8056
3,2560,0.4499,6.2326,5,6.2665,0.0275,0.0786,3.0069
3,2570,0.4833,6.319,5,6.2448,0.0305,0.0763,3.4924
3,2580,0.507,6.7603,5,6.6486,0.029,0.0722,3.7526
3,2590,0.511,6.6479,5,6.4191,0.0282,0.073,3.5549
3,2600,0.4706,6.4519,5,6.853,0.0292,0.0851,4.1075
3,2610,0.5217,6.9644,5,6.7904,0.0294,0.083,4.0105
3,2620,0.5632,7.3966,5,7.2627,0.0296,0.0805,4.5791
3,2630,0.4775,6.3083,5,6.4235,0.0282,0.0734,3.1821
3,2640,0.471,6.1337,5,6.3753,0.0266,0.0706,3.1318
3,2650,0.4324,5.7033,5,6.053,0.0255,0.0597,2.9246
3,2660,0.4692,6.0912,5,6.0278,0.0285,0.0806,3.2166
3,2670,0.514,6.7469,5,6.5508,0.0305,0.0759,3.7556
3,2680,0.5189,6.9949,5,7.139,0.0303,0.0889,3.8069
3,2690,0.5566,7.425,5,6.9987,0.0274,0.0853,4.3555
3,2700,0.4945,6.9091,5,6.6371,0.0286,0.0881,4.0534
3,2710,0.5284,6.9794,5,6.8325,0.0284,0.0909,4.4628
3,2720,0.4872,6.4173,5,6.4424,0.0279,0.0764,4.3479
3,2730,0.5255,7.0867,5,6.6239,0.029,0.0824,3.5902
3,2740,0.5233,6.7847,5,6.6632,0.0282,0.0806,3.7325
3,2750,0.4813,6.4214,5,6.3469,0.0293,0.0797,3.3703
3,2760,0.526,6.8761,5,7.0931,0.0274,0.0883,4.7923
3,2770,0.5332,7.0146,5,7.0532,0.0273,0.0867,3.9508
3,2780,0.5353,7.2114,5,6.8159,0.0272,0.0876,3.8741
3,2790,0.5303,7.2654,5,7.3946,0.0296,0.0965,4.0019
3,2800,0.5372,7.1144,5,6.9487,0.0275,0.0987,4.7044
3,2810,0.5024,6.8742,5,6.6958,0.0262,0.0988,3.7759
3,2820,0.4867,6.7673,5,7.1087,0.0293,0.0897,3.9533
3,2830,0.5369,7.1972,5,6.8102,0.0273,0.0949,4.7482
3,2840,0.5348,7.2986,5,7.3259,0.0281,0.0941,4.7292
3,2850,0.5143,7.0236,5,7.0629,0.0303,0.0837,4.0588
3,2860,0.5028,6.5127,5,6.7631,0.0277,0.0911,3.2117
3,2870,0.5668,7.7437,5,7.6016,0.0266,0.0956,3.6958
3,2880,0.5299,7.0137,5,7.1046,0.0267,0.095,4.4489
3,2890,0.5423,7.1891,5,7.2718,0.0268,0.0942,4.5894
3,2900,0.5478,7.5974,5,7.6898,0.0291,0.1031,4.5844
3,2910,0.5227,7.1145,5,7.0634,0.0267,0.0816,3.801
3,2920,0.5833,7.6257,5,7.4627,0.0294,0.0883,4.2862
3,2930,0.508,7.0474,5,7.1143,0.0266,0.089,4.2532
3,2940,0.5133,7.0016,5,7.0112,0.0263,0.0824,4.1819
3,2950,0.4911,6.9508,5,6.9034,0.0272,0.0882,3.3071
3,2960,0.5047,6.7451,5,6.7002,0.028,0.0918,4.0289
3,2970,0.5139,7.033,5,6.9493,0.0292,0.0935,4.7811
3,2980,0.5944,7.7128,5,7.7646,0.0279,0.105,5.2991
3,2990,0.4648,6.5069,5,6.4825,0.0297,0.0843,3.3912
3,3000,0.5342,7.1447,5,7.0183,0.0287,0.095,4.1257
3,3010,0.5399,7.3992,5,7.4186,0.0296,0.0973,4.8181
3,3020,0.551,7.5302,5,7.3025,0.0307,0.097,4.6314
3,3030,0.4812,6.5782,5,6.8032,0.027,0.0816,3.8272
3,3040,0.508,6.8579,5,7.1567,0.0263,0.0867,3.8705
3,3050,0.5596,7.3312,5,7.0098,0.0264,0.0953,4.5798
3,3060,0.5543,7.4634,5,7.2512,0.0276,0.0926,4.5138
3,3070,0.4832,6.8412,5,6.7514,0.0276,0.0863,4.6211
3,3080,0.5403,7.2888,5,6.8981,0.0284,0.0978,4.4569
3,3090,0.4982,6.7222,5,6.8984,0.0272,0.0905,4.029
3,3100,0.4696,6.509,5,6.6926,0.0254,0.0875,4.1058
3,3110,0.4914,6.6216,5,6.4813,0.0284,0.0953,3.9787
3,3120,0.5081,6.9948,5,7.1272,0.0283,0.0872,3.9379
3,3130,0.513,7.0949,5,7.0652,0.0282,0.0882,3.7276
