version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,2870,0.3957,4.9411,5,4.9613,0.0112,0.028,2.2628
3,2880,0.3927,5.179,5,5.1331,0.0089,0.0162,1.4447
3,2890,0.4035,5.1063,5,4.8995,0.0124,0.0206,2.3554
3,2900,0.3885,5.0338,5,5.0397,0.0108,0.024,1.7346
3,2910,0.3725,4.898,5,5.0065,0.0084,0.0127,0.9681
3,2920,0.3867,4.9735,5,4.9343,0.0093,0.0225,1.2087
3,2930,0.4188,5.1759,5,5.1395,0.0095,0.0177,1.4853
3,2940,0.4018,4.9899,5,4.8438,0.01,0.0267,1.896
3,2950,0.4072,5.1702,5,5.1105,0.0098,0.0176,1.876
3,2960,0.4097,5.1485,5,5.1411,0.012,0.0199,2.0015
3,2970,0.3901,5.0067,5,5.1654,0.0096,0.0166,1.5775
3,2980,0.3712,4.8566,5,5.2095,0.0095,0.0163,1.1627
3,2990,0.3891,4.9667,5,4.9041,0.0104,0.0197,1.6253
3,3000,0.3732,4.8848,5,4.8695,0.0098,0.0164,0.8136
3,3010,0.385,4.9798,5,5.0705,0.0109,0.0186,1.6515
3,3020,0.3839,4.9015,5,4.9436,0.0103,0.0176,1.4561
3,3030,0.4019,5.1329,5,5.1087,0.0102,0.0203,1.8624
3,3040,0.3757,4.92,5,4.9658,0.0107,0.0164,0.7762
3,3050,0.3976,5.0395,5,4.9914,0.0099,0.0199,1.8649
3,3060,0.3996,5.0155,5,5.0053,0.0103,0.0228,1.9109
3,3070,0.4037,5.1533,5,5.2714,0.0105,0.0168,1.6175
3,3080,0.378,4.902,5,5.1294,0.0083,0.0174,1.34
3,3090,0.3783,4.9676,5,5.1157,0.009,0.0145,1.4246
3,3100,0.3721,4.9257,5,4.99,0.0097,0.0129,1.5061
3,3110,0.3652,4.771,5,4.7254,0.01,0.0165,0.8191
3,3120,0.4074,5.1959,5,5.1606,0.0111,0.0162,1.7166
3,3130,0.3855,5.0134,5,5.0618,0.0099,0.0176,1.2573
3,3140,0.3954,5.0879,5,5.1583,0.0084,0.0167,1.3554
3,3150,0.4002,5.1236,5,5.2657,0.011,0.0202,2.0666
3,3160,0.421,5.2579,5,5.3127,0.0094,0.021,2.0425
3,3170,0.4071,5.1309,5,5.0308,0.0106,0.0216,1.571
3,3180,0.4089,5.2986,5,5.0563,0.0106,0.0228,2.1042
3,3190,0.3792,4.9441,5,5.038,0.0103,0.0224,1.5046
3,3200,0.3931,5.033,5,4.9553,0.0102,0.018,1.7395
3,3210,0.4073,5.1805,5,4.9924,0.0098,0.0199,1.288
3,3220,0.4093,5.223,5,5.3043,0.0097,0.0199,2.0614
3,3230,0.397,5.0618,5,5.215,0.0107,0.0224,1.771
3,3240,0.3873,5.0512,5,5.288,0.009,0.0148,0.8084
3,3250,0.4329,5.3902,5,5.0933,0.0108,0.0233,2.2076
3,3260,0.4108,5.1424,5,5.3342,0.01,0.0233,2.0937
3,3270,0.4405,5.3654,5,5.4332,0.0103,0.0258,2.4071
3,3280,0.4615,5.5977,5,5.3455,0.0097,0.0249,2.3169
3,3290,0.4039,5.2331,5,5.2564,0.0115,0.0221,2.177
3,3300,0.4578,5.4949,5,5.2225,0.0102,0.0409,2.7184
3,3310,0.4558,5.5394,5,5.4569,0.0112,0.0245,3.3278
3,3320,0.4029,5.2626,5,5.3541,0.0094,0.0182,1.1234
3,3330,0.3942,4.9759,5,5.13,0.0112,0.0247,2.0199
3,3340,0.4123,5.3682,5,5.3347,0.0094,0.0205,1.3448
3,3350,0.4099,5.2897,5,5.2872,0.0108,0.0219,1.877
3,3360,0.3691,4.9044,5,5.0439,0.011,0.0197,2.203
3,3370,0.4156,5.3351,5,5.258,0.0099,0.024,1.9365
3,3380,0.3999,5.136,5,5.1312,0.0099,0.0252,1.3571
3,3390,0.4186,5.3539,5,5.3666,0.0096,0.0221,2.1442
3,3400,0.3818,5.0274,5,5.2397,0.0109,0.025,1.7225
