version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,2990,0.1234,2.1301,5,2.1715,0.0016,0.0035,0.1306
3,3000,0.164,2.6841,5,2.72,0.0015,0.0044,0.274
3,3010,0.1557,2.4723,5,2.4282,0.0014,0.0039,0.3097
3,3020,0.1812,2.9218,5,2.8896,0.0015,0.005,0.1597
3,3030,0.1465,2.4799,5,2.496,0.0015,0.0037,0.4077
3,3040,0.1566,2.5882,5,2.6193,0.0018,0.0043,0.2489
3,3050,0.1245,2.1711,5,2.1693,0.0018,0.0038,0.2314
3,3060,0.1486,2.4352,5,2.3839,0.0017,0.0033,0.1371
3,3070,0.2402,3.7693,5,3.768,0.0017,0.0063,0.2669
3,3080,0.1934,3.1448,5,3.1564,0.0017,0.005,0.3535
3,3090,0.1684,2.7844,5,2.7955,0.002,0.0045,0.558
3,3100,0.1823,3.0634,5,3.0415,0.0019,0.0051,0.3701
3,3110,0.196,3.1348,5,3.12,0.002,0.0053,0.3457
3,3120,0.1643,2.7348,5,2.749,0.0015,0.0041,0.2469
